relative_path,file_type,file_size_mb,modified_time,category,likely_role,tracked_by_git,ignored_by_git,recommendation
DataSets/CWRU/12k Drive End Bearing Fault Data/146.mat,.mat,2.783,2026-06-03T19:13:22,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/147.mat,.mat,2.799,2026-06-03T19:13:32,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/156.mat,.mat,2.799,2026-06-03T19:13:24,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/158.mat,.mat,2.793,2026-06-03T19:13:28,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/159.mat,.mat,2.799,2026-06-03T19:13:28,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/160.mat,.mat,2.796,2026-06-03T19:13:28,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/169.mat,.mat,2.789,2026-06-03T19:13:28,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/170.mat,.mat,2.789,2026-06-03T19:13:28,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/171.mat,.mat,2.789,2026-06-03T19:13:26,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/172.mat,.mat,2.786,2026-06-03T19:13:24,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/185.mat,.mat,2.789,2026-06-03T19:13:28,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/186.mat,.mat,2.796,2026-06-03T19:13:28,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/187.mat,.mat,2.793,2026-06-03T19:13:28,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/188.mat,.mat,2.796,2026-06-03T19:13:28,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/197.mat,.mat,2.789,2026-06-03T19:13:28,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/198.mat,.mat,2.796,2026-06-03T19:13:28,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/199.mat,.mat,2.789,2026-06-03T19:13:28,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/200.mat,.mat,2.793,2026-06-03T19:13:28,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/209.mat,.mat,2.796,2026-06-03T19:13:32,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/210.mat,.mat,2.783,2026-06-03T19:13:30,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/211.mat,.mat,2.789,2026-06-03T19:13:32,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/212.mat,.mat,2.793,2026-06-03T19:13:32,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/222.mat,.mat,2.793,2026-06-03T19:13:30,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/223.mat,.mat,2.786,2026-06-03T19:13:34,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/224.mat,.mat,2.796,2026-06-03T19:13:30,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/225.mat,.mat,2.796,2026-06-03T19:13:34,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/234.mat,.mat,2.802,2026-06-03T19:13:34,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/235.mat,.mat,2.793,2026-06-03T19:13:34,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/236.mat,.mat,2.799,2026-06-03T19:13:34,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/237.mat,.mat,2.793,2026-06-03T19:13:34,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/246.mat,.mat,2.786,2026-06-03T19:13:34,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/247.mat,.mat,2.793,2026-06-03T19:13:34,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/248.mat,.mat,2.799,2026-06-03T19:13:34,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/249.mat,.mat,2.796,2026-06-03T19:13:34,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/258.mat,.mat,2.789,2026-06-03T19:13:34,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/259.mat,.mat,2.802,2026-06-03T19:13:34,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/260.mat,.mat,2.809,2026-06-03T19:13:34,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/261.mat,.mat,2.786,2026-06-03T19:13:34,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/3001.mat,.mat,0.922,2026-06-03T19:13:34,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/3002.mat,.mat,0.926,2026-06-03T19:13:34,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/3003.mat,.mat,0.926,2026-06-03T19:13:36,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/3004.mat,.mat,0.927,2026-06-03T19:13:36,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/3005.mat,.mat,0.922,2026-06-03T19:13:36,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/3006.mat,.mat,0.926,2026-06-03T19:13:36,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/3007.mat,.mat,0.923,2026-06-03T19:13:36,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Drive End Bearing Fault Data/3008.mat,.mat,0.923,2026-06-03T19:13:38,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/270.mat,.mat,2.774,2026-06-03T19:13:42,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/271.mat,.mat,2.774,2026-06-03T19:13:38,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/272.mat,.mat,2.769,2026-06-03T19:13:38,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/273.mat,.mat,2.774,2026-06-03T19:13:38,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/274.mat,.mat,2.778,2026-06-03T19:13:40,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/275.mat,.mat,2.778,2026-06-03T19:13:38,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/276.mat,.mat,2.778,2026-06-03T19:13:42,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/277.mat,.mat,2.793,2026-06-03T19:13:38,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/278.mat,.mat,2.801,2026-06-03T19:13:40,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/279.mat,.mat,2.778,2026-06-03T19:13:42,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/280.mat,.mat,2.778,2026-06-03T19:13:44,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/281.mat,.mat,2.782,2026-06-03T19:13:40,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/282.mat,.mat,2.774,2026-06-03T19:13:42,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/283.mat,.mat,2.765,2026-06-03T19:13:42,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/284.mat,.mat,2.786,2026-06-03T19:13:40,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/285.mat,.mat,2.774,2026-06-03T19:13:44,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/286.mat,.mat,2.795,2026-06-03T19:13:40,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/287.mat,.mat,2.786,2026-06-03T19:13:44,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/288.mat,.mat,2.799,2026-06-03T19:13:42,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/289.mat,.mat,2.774,2026-06-03T19:13:46,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/290.mat,.mat,2.778,2026-06-03T19:13:44,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/291.mat,.mat,2.778,2026-06-03T19:13:44,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/292.mat,.mat,2.782,2026-06-03T19:13:44,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/293.mat,.mat,2.765,2026-06-03T19:13:42,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/294.mat,.mat,2.774,2026-06-03T19:13:44,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/295.mat,.mat,2.782,2026-06-03T19:13:44,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/296.mat,.mat,2.774,2026-06-03T19:13:46,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/297.mat,.mat,2.791,2026-06-03T19:13:44,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/298.mat,.mat,2.769,2026-06-03T19:13:46,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/299.mat,.mat,2.774,2026-06-03T19:13:46,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/300.mat,.mat,2.791,2026-06-03T19:13:48,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/301.mat,.mat,2.786,2026-06-03T19:13:48,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/302.mat,.mat,2.774,2026-06-03T19:13:46,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/305.mat,.mat,2.769,2026-06-03T19:13:48,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/306.mat,.mat,2.786,2026-06-03T19:13:46,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/307.mat,.mat,2.774,2026-06-03T19:13:48,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/309.mat,.mat,2.774,2026-06-03T19:13:48,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/310.mat,.mat,2.782,2026-06-03T19:13:48,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/311.mat,.mat,2.769,2026-06-03T19:13:48,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/312.mat,.mat,2.769,2026-06-03T19:13:52,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/313.mat,.mat,2.769,2026-06-03T19:13:52,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/315.mat,.mat,2.761,2026-06-03T19:13:52,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/316.mat,.mat,2.761,2026-06-03T19:13:48,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/317.mat,.mat,2.761,2026-06-03T19:13:50,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/12k Fan End Bearing Fault Data/318.mat,.mat,2.778,2026-06-03T19:13:52,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/109.mat,.mat,3.723,2026-06-03T19:13:50,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/110.mat,.mat,7.420,2026-06-03T19:13:54,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/111.mat,.mat,7.411,2026-06-03T19:13:52,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/112.mat,.mat,7.411,2026-06-03T19:13:56,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/122.mat,.mat,3.735,2026-06-03T19:13:52,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/123.mat,.mat,7.437,2026-06-03T19:13:54,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/124.mat,.mat,7.428,2026-06-03T19:13:58,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/125.mat,.mat,7.455,2026-06-03T19:14:00,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/135.mat,.mat,3.716,2026-06-03T19:13:56,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/136.mat,.mat,7.428,2026-06-03T19:13:58,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/137.mat,.mat,7.428,2026-06-03T19:13:58,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/138.mat,.mat,7.446,2026-06-03T19:13:58,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/148.mat,.mat,1.902,2026-06-03T19:13:56,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/149.mat,.mat,7.402,2026-06-03T19:14:06,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/150.mat,.mat,7.411,2026-06-03T19:13:58,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/151.mat,.mat,7.420,2026-06-03T19:14:10,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/161.mat,.mat,1.983,2026-06-03T19:13:58,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/162.mat,.mat,7.366,2026-06-03T19:14:02,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/163.mat,.mat,7.375,2026-06-03T19:14:08,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/164.mat,.mat,7.393,2026-06-03T19:14:08,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/174.mat,.mat,0.974,2026-06-03T19:14:00,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/175.mat,.mat,17.023,2026-06-03T19:14:18,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/176.mat,.mat,7.446,2026-06-03T19:14:04,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/177.mat,.mat,7.402,2026-06-03T19:14:10,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/189.mat,.mat,3.802,2026-06-03T19:14:04,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/190.mat,.mat,7.420,2026-06-03T19:14:04,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/191.mat,.mat,7.437,2026-06-03T19:14:10,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/192.mat,.mat,7.428,2026-06-03T19:14:08,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/201.mat,.mat,3.741,2026-06-03T19:14:06,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/202.mat,.mat,7.393,2026-06-03T19:14:14,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/203.mat,.mat,7.428,2026-06-03T19:14:08,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/204.mat,.mat,7.455,2026-06-03T19:14:18,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/213.mat,.mat,3.729,2026-06-03T19:14:12,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/214.mat,.mat,7.402,2026-06-03T19:14:12,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/215.mat,.mat,7.499,2026-06-03T19:14:16,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/217.mat,.mat,14.963,2026-06-03T19:14:26,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/226.mat,.mat,3.723,2026-06-03T19:14:18,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/227.mat,.mat,7.428,2026-06-03T19:14:22,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/228.mat,.mat,7.437,2026-06-03T19:14:14,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/229.mat,.mat,7.428,2026-06-03T19:14:14,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/238.mat,.mat,3.759,2026-06-03T19:14:18,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/239.mat,.mat,7.464,2026-06-03T19:14:20,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/240.mat,.mat,7.446,2026-06-03T19:14:22,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/241.mat,.mat,7.464,2026-06-03T19:14:18,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/250.mat,.mat,1.964,2026-06-03T19:14:22,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/251.mat,.mat,7.473,2026-06-03T19:14:22,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/252.mat,.mat,7.437,2026-06-03T19:14:24,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/253.mat,.mat,7.393,2026-06-03T19:14:24,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/262.mat,.mat,1.992,2026-06-03T19:14:22,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/263.mat,.mat,7.420,2026-06-03T19:14:22,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/264.mat,.mat,7.428,2026-06-03T19:14:26,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/48k Drive End Bearing Fault Data/265.mat,.mat,7.420,2026-06-03T19:14:26,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/Normal Baseline Data/100.mat,.mat,7.411,2026-06-03T19:14:26,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/Normal Baseline Data/97.mat,.mat,3.723,2026-06-03T19:14:26,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/Normal Baseline Data/98.mat,.mat,7.384,2026-06-03T19:14:28,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/Normal Baseline Data/99.mat,.mat,14.786,2026-06-03T19:14:28,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/CWRU/WaveletDataset/all_cond_wave.npz,.npz,166.925,2026-06-05T14:20:08,DataSets,raw_or_external_dataset,False,True,do_not_version_large_asset
DataSets/SEU/FFT(bearing).png,.png,0.114,2026-06-14T15:42:32,DataSets,figure_or_training_curve,False,True,convert_to_manifest
DataSets/SEU/FFT(gear).png,.png,0.103,2026-06-14T15:41:34,DataSets,figure_or_training_curve,False,True,convert_to_manifest
DataSets/SEU/bearing_set/ball_20_0.csv,.csv,76.253,2025-12-03T00:45:34,DataSets,metric_or_log_candidate,False,True,do_not_version_large_asset
DataSets/SEU/bearing_set/ball_30_2.csv,.csv,76.485,2025-12-03T00:45:30,DataSets,metric_or_log_candidate,False,True,do_not_version_large_asset
DataSets/SEU/bearing_set/comb_20_0.csv,.csv,76.169,2025-12-03T00:45:24,DataSets,metric_or_log_candidate,False,True,do_not_version_large_asset
DataSets/SEU/bearing_set/comb_30_2.csv,.csv,76.551,2025-12-03T00:45:48,DataSets,metric_or_log_candidate,False,True,do_not_version_large_asset
