npz_path,split_a,split_b,n_a,n_b,exact_duplicate_count,duplicate_rate_a,duplicate_rate_b,method,notes
wavelet_dataset/Bearing_30_2.npz,train,test,8190,1020,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Bearing_30_2.npz,train,valid,8190,765,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Bearing_30_2.npz,valid,test,765,1020,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Bearing_30_2.npz,cross_finetune,cross_test,765,9210,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Bearing_30_2.npz,cross_finetune,test,765,1020,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Bearing_30_2.npz,cross_finetune,train,765,8190,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Bearing_30_2.npz,cross_finetune,valid,765,765,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Bearing_30_2.npz,cross_test,test,9210,1020,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Bearing_30_2.npz,cross_test,train,9210,8190,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Bearing_30_2.npz,cross_test,valid,9210,765,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Bearing_30_2.npz,test,train,1020,8190,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Bearing_30_2.npz,test,valid,1020,765,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_20_0.npz,train,cross_finetune,5455,510,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs full_sha1,duplicate rates are over sampled hashes
wavelet_dataset/Gear_20_0.npz,train,test,5455,680,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_20_0.npz,train,valid,5455,510,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs full_sha1,duplicate rates are over sampled hashes
wavelet_dataset/Gear_20_0.npz,valid,test,510,680,0,0.000000,0.000000,full_sha1 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_20_0.npz,cross_finetune,cross_test,510,6140,0,0.000000,0.000000,full_sha1 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_20_0.npz,cross_finetune,test,510,680,0,0.000000,0.000000,full_sha1 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_20_0.npz,cross_finetune,train,510,5455,0,0.000000,0.000000,full_sha1 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_20_0.npz,cross_finetune,valid,510,510,0,0.000000,0.000000,full_sha1 vs full_sha1,
wavelet_dataset/Gear_20_0.npz,cross_test,test,6140,680,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_20_0.npz,cross_test,train,6140,5455,26,0.050781,0.050781,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_20_0.npz,cross_test,valid,6140,510,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs full_sha1,duplicate rates are over sampled hashes
wavelet_dataset/Gear_20_0.npz,test,train,680,5455,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_20_0.npz,test,valid,680,510,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs full_sha1,duplicate rates are over sampled hashes
wavelet_dataset/Gear_30_2.npz,train,cross_finetune,8190,765,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_30_2.npz,train,test,8190,1020,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_30_2.npz,train,valid,8190,765,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_30_2.npz,valid,test,765,1020,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_30_2.npz,cross_finetune,cross_test,765,9210,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_30_2.npz,cross_finetune,test,765,1020,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_30_2.npz,cross_finetune,train,765,8190,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_30_2.npz,cross_finetune,valid,765,765,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_30_2.npz,cross_test,test,9210,1020,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_30_2.npz,cross_test,train,9210,8190,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_30_2.npz,cross_test,valid,9210,765,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_30_2.npz,test,train,1020,8190,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
wavelet_dataset/Gear_30_2.npz,test,valid,1020,765,0,0.000000,0.000000,sampled_deterministic_sha1_512 vs sampled_deterministic_sha1_512,duplicate rates are over sampled hashes
