condition,seed,model_family,experiment_family,split,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,loss,source_path,extraction_method,status,notes
Gear_30_2,49,no_attention,confusion_f1,unknown,,,,,,,ModelTrain/NoAttention/ConfusionAndF1/Seed_49/F1/Gear_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
unknown,unknown,no_attention,cross_condition_risk_reference,unknown,,,,,,,ModelTrain/NoAttention/CrossCondTest/Cross_condition_acc_comparison.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_20_0,unknown,no_attention,unknown,unknown,,,,,,,ModelTrain/NoAttention/ModelTest_ch/Performance_Comparison(Bearing_20_0).png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_30_2,unknown,no_attention,unknown,unknown,,,,,,,ModelTrain/NoAttention/ModelTest_ch/Performance_Comparison(Bearing_30_2).png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_20_0,unknown,no_attention,unknown,unknown,,,,,,,ModelTrain/NoAttention/ModelTest_ch/Performance_Comparison(Gear_20_0).png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_30_2,unknown,no_attention,unknown,unknown,,,,,,,ModelTrain/NoAttention/ModelTest_ch/Performance_Comparison(Gear_30_2).png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_20_0,unknown,no_attention,frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/SHAP_freq/ShapResults/Bearing_20_0.npz,inventory_only_no_inference,not_metric_source,asset is not a direct metric table
Bearing_30_2,unknown,no_attention,frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/SHAP_freq/ShapResults/Bearing_30_2.npz,inventory_only_no_inference,not_metric_source,asset is not a direct metric table
Gear_20_0,unknown,no_attention,frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/SHAP_freq/ShapResults/Gear_20_0.npz,inventory_only_no_inference,not_metric_source,asset is not a direct metric table
Gear_30_2,unknown,no_attention,frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/SHAP_freq/ShapResults/Gear_30_2.npz,inventory_only_no_inference,not_metric_source,asset is not a direct metric table
Bearing_20_0,42,no_attention,channel_ablation_4ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_4ch/Seed_42/Bearing_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_30_2,42,no_attention,channel_ablation_4ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_4ch/Seed_42/Bearing_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_20_0,42,no_attention,channel_ablation_4ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_4ch/Seed_42/Gear_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_30_2,42,no_attention,channel_ablation_4ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_4ch/Seed_42/Gear_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_20_0,42,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_42/Bearing_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_30_2,42,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_42/Bearing_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_20_0,42,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_42/Gear_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_30_2,42,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_42/Gear_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_20_0,49,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_49/Bearing_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_30_2,49,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_49/Bearing_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_20_0,49,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_49/Gear_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_30_2,49,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_49/Gear_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_20_0,56,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_56/Bearing_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_30_2,56,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_56/Bearing_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_20_0,56,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_56/Gear_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_30_2,56,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_56/Gear_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_20_0,63,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_63/Bearing_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_30_2,63,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_63/Bearing_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_20_0,63,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_63/Gear_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_30_2,63,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_63/Gear_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_20_0,70,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_70/Bearing_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_30_2,70,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_70/Bearing_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_20_0,70,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_70/Gear_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_30_2,70,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_6ch/Seed_70/Gear_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_20_0,42,no_attention,frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_freq/Seed_42/Bearing_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_30_2,42,no_attention,frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_freq/Seed_42/Bearing_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_20_0,42,no_attention,frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_freq/Seed_42/Gear_20_0.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_30_2,42,no_attention,frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/SavedGraphs_freq/Seed_42/Gear_30_2.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_20_0,42,no_attention,channel_ablation_4ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_4ch/Seed_42/Bearing_20_0.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Bearing_30_2,42,no_attention,channel_ablation_4ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_4ch/Seed_42/Bearing_30_2.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Gear_20_0,42,no_attention,channel_ablation_4ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_4ch/Seed_42/Gear_20_0.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Gear_30_2,42,no_attention,channel_ablation_4ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_4ch/Seed_42/Gear_30_2.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Bearing_20_0,42,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_42/Bearing_20_0.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Bearing_30_2,42,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_42/Bearing_30_2.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Gear_20_0,42,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_42/Gear_20_0.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Gear_30_2,42,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_42/Gear_30_2.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Bearing_20_0,49,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_49/Bearing_20_0.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Bearing_30_2,49,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_49/Bearing_30_2.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Gear_20_0,49,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_49/Gear_20_0.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Gear_30_2,49,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_49/Gear_30_2.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Bearing_20_0,56,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_56/Bearing_20_0.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Bearing_30_2,56,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_56/Bearing_30_2.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Gear_20_0,56,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_56/Gear_20_0.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Gear_30_2,56,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_56/Gear_30_2.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Bearing_20_0,63,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_63/Bearing_20_0.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Bearing_30_2,63,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_63/Bearing_30_2.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Gear_20_0,63,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_63/Gear_20_0.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Gear_30_2,63,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_63/Gear_30_2.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Bearing_20_0,70,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_70/Bearing_20_0.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Bearing_30_2,70,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_70/Bearing_30_2.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Gear_20_0,70,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_70/Gear_20_0.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Gear_30_2,70,no_attention,baseline_6ch,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_6ch/Seed_70/Gear_30_2.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Bearing_20_0,42,no_attention,frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_freq/Seed_42/Bearing_20_0.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Bearing_30_2,42,no_attention,frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_freq/Seed_42/Bearing_30_2.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Gear_20_0,42,no_attention,frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_freq/Seed_42/Gear_20_0.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
Gear_30_2,42,no_attention,frequency_ablation,unknown,,,,,,,ModelTrain/NoAttention/SavedModels_freq/Seed_42/Gear_30_2.pth,inventory_only_no_inference,checkpoint_needs_lightweight_eval_export,checkpoint exists but this sprint does not run inference
unknown,unknown,attention_and_no_attention,attention_comparison,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ChannelWeights/ChannelWeights.npz,inventory_only_no_inference,not_metric_source,asset is not a direct metric table
Bearing_20_0,42,attention_and_no_attention,attention_comparison,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_20_0.npz,inventory_only_no_inference,not_metric_source,asset is not a direct metric table
Bearing_30_2,42,attention_and_no_attention,attention_comparison,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Bearing_30_2.npz,inventory_only_no_inference,not_metric_source,asset is not a direct metric table
Gear_20_0,42,attention_and_no_attention,attention_comparison,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_20_0.npz,inventory_only_no_inference,not_metric_source,asset is not a direct metric table
Gear_30_2,42,attention_and_no_attention,attention_comparison,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_42/Gear_30_2.npz,inventory_only_no_inference,not_metric_source,asset is not a direct metric table
Bearing_20_0,49,attention_and_no_attention,attention_comparison,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_49/Bearing_20_0.npz,inventory_only_no_inference,not_metric_source,asset is not a direct metric table
Bearing_30_2,49,attention_and_no_attention,attention_comparison,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_49/Bearing_30_2.npz,inventory_only_no_inference,not_metric_source,asset is not a direct metric table
Gear_20_0,49,attention_and_no_attention,attention_comparison,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_49/Gear_20_0.npz,inventory_only_no_inference,not_metric_source,asset is not a direct metric table
Gear_30_2,49,attention_and_no_attention,attention_comparison,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_49/Gear_30_2.npz,inventory_only_no_inference,not_metric_source,asset is not a direct metric table
Bearing_20_0,56,attention_and_no_attention,attention_comparison,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_56/Bearing_20_0.npz,inventory_only_no_inference,not_metric_source,asset is not a direct metric table
Bearing_30_2,56,attention_and_no_attention,attention_comparison,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_56/Bearing_30_2.npz,inventory_only_no_inference,not_metric_source,asset is not a direct metric table
Gear_20_0,56,attention_and_no_attention,attention_comparison,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_56/Gear_20_0.npz,inventory_only_no_inference,not_metric_source,asset is not a direct metric table
Gear_30_2,56,attention_and_no_attention,attention_comparison,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ChannelWeights/Seed_56/Gear_30_2.npz,inventory_only_no_inference,not_metric_source,asset is not a direct metric table
Bearing_20_0,42,attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_42/ConfusionMatrix/Bearing_20_0_Attention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_20_0,42,no_attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_42/ConfusionMatrix/Bearing_20_0_NoAttention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_30_2,42,attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_42/ConfusionMatrix/Bearing_30_2_Attention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_30_2,42,no_attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_42/ConfusionMatrix/Bearing_30_2_NoAttention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_20_0,42,attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_42/ConfusionMatrix/Gear_20_0_Attention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_20_0,42,no_attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_42/ConfusionMatrix/Gear_20_0_NoAttention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_30_2,42,attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_42/ConfusionMatrix/Gear_30_2_Attention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_30_2,42,no_attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_42/ConfusionMatrix/Gear_30_2_NoAttention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_20_0,42,attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_42/F1/Bearing_20_0_Attention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_20_0,42,no_attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_42/F1/Bearing_20_0_NoAttention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_30_2,42,attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_42/F1/Bearing_30_2_Attention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_30_2,42,no_attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_42/F1/Bearing_30_2_NoAttention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_20_0,42,attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_42/F1/Gear_20_0_Attention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_20_0,42,no_attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_42/F1/Gear_20_0_NoAttention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_30_2,42,attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_42/F1/Gear_30_2_Attention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_30_2,42,no_attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_42/F1/Gear_30_2_NoAttention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_20_0,49,attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_49/ConfusionMatrix/Bearing_20_0_Attention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_20_0,49,no_attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_49/ConfusionMatrix/Bearing_20_0_NoAttention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_30_2,49,attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_49/ConfusionMatrix/Bearing_30_2_Attention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Bearing_30_2,49,no_attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_49/ConfusionMatrix/Bearing_30_2_NoAttention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_20_0,49,attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_49/ConfusionMatrix/Gear_20_0_Attention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_20_0,49,no_attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_49/ConfusionMatrix/Gear_20_0_NoAttention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
Gear_30_2,49,attention,confusion_f1,unknown,,,,,,,ModelTrain/AttentionAndNoAttention/ConfusionAndF1/Seed_49/ConfusionMatrix/Gear_30_2_Attention.png,inventory_only_no_inference,figure_only_needs_numeric_export,no OCR or image-value inference performed
