condition,view,feature_name,is_topk_shap,has_any_label_adjacency,has_strict_feature_to_label_edge,adjacency_support_level,adjacency_consistency_type,paper_interpretation
Bearing_30_2,frequency,cD3,True,True,False,weak_label_adjacency_only,high_shap_with_label_adjacency,high-attribution feature with label-related graph adjacency
Bearing_30_2,frequency,cD4,False,False,False,no_label_adjacency,low_shap_without_label_adjacency,low-attribution feature without label adjacency
Bearing_30_2,frequency,cD5,False,True,True,strict_directed_support,low_shap_with_label_adjacency_underused_or_conflicting,low-attribution feature with label adjacency; underused graph-supported candidate
Gear_20_0,channel,ch2,False,True,False,weak_label_adjacency_only,low_shap_with_label_adjacency_underused_or_conflicting,low-attribution feature with label adjacency; underused graph-supported candidate
Gear_20_0,channel,ch3,False,False,False,no_label_adjacency,low_shap_without_label_adjacency,low-attribution feature without label adjacency
Gear_20_0,channel,ch4,False,True,False,weak_label_adjacency_only,low_shap_with_label_adjacency_underused_or_conflicting,low-attribution feature with label adjacency; underused graph-supported candidate
Gear_20_0,channel,ch6,False,True,False,weak_label_adjacency_only,low_shap_with_label_adjacency_underused_or_conflicting,low-attribution feature with label adjacency; underused graph-supported candidate
Gear_20_0,channel,ch7,False,False,False,no_label_adjacency,low_shap_without_label_adjacency,low-attribution feature without label adjacency
Gear_20_0,channel,ch8,True,False,False,no_label_adjacency,high_shap_without_label_adjacency_potential_shortcut,high-attribution feature without label adjacency; shortcut-risk candidate
Gear_20_0,frequency,cA5,False,True,False,weak_label_adjacency_only,low_shap_with_label_adjacency_underused_or_conflicting,low-attribution feature with label adjacency; underused graph-supported candidate
Gear_20_0,frequency,cD2,True,True,False,weak_label_adjacency_only,high_shap_with_label_adjacency,high-attribution feature with label-related graph adjacency
Gear_20_0,frequency,cD3,False,True,False,weak_label_adjacency_only,low_shap_with_label_adjacency_underused_or_conflicting,low-attribution feature with label adjacency; underused graph-supported candidate
Gear_20_0,frequency,cD4,True,False,False,no_label_adjacency,high_shap_without_label_adjacency_potential_shortcut,high-attribution feature without label adjacency; shortcut-risk candidate
Gear_20_0,frequency,cD5,False,True,False,weak_label_adjacency_only,low_shap_with_label_adjacency_underused_or_conflicting,low-attribution feature with label adjacency; underused graph-supported candidate
Gear_30_2,channel,ch2,False,True,False,weak_label_adjacency_only,low_shap_with_label_adjacency_underused_or_conflicting,low-attribution feature with label adjacency; underused graph-supported candidate
Gear_30_2,channel,ch3,False,True,False,weak_label_adjacency_only,low_shap_with_label_adjacency_underused_or_conflicting,low-attribution feature with label adjacency; underused graph-supported candidate
Gear_30_2,channel,ch4,False,True,False,weak_label_adjacency_only,low_shap_with_label_adjacency_underused_or_conflicting,low-attribution feature with label adjacency; underused graph-supported candidate
Gear_30_2,channel,ch6,False,False,False,no_label_adjacency,low_shap_without_label_adjacency,low-attribution feature without label adjacency
Gear_30_2,channel,ch7,False,False,False,no_label_adjacency,low_shap_without_label_adjacency,low-attribution feature without label adjacency
Gear_30_2,channel,ch8,False,False,False,no_label_adjacency,low_shap_without_label_adjacency,low-attribution feature without label adjacency
Gear_30_2,frequency,cA5,False,False,False,no_label_adjacency,low_shap_without_label_adjacency,low-attribution feature without label adjacency
Gear_30_2,frequency,cD2,True,True,False,weak_label_adjacency_only,high_shap_with_label_adjacency,high-attribution feature with label-related graph adjacency
Gear_30_2,frequency,cD3,True,True,False,weak_label_adjacency_only,high_shap_with_label_adjacency,high-attribution feature with label-related graph adjacency
Gear_30_2,frequency,cD4,False,True,False,weak_label_adjacency_only,low_shap_with_label_adjacency_underused_or_conflicting,low-attribution feature with label adjacency; underused graph-supported candidate
Gear_30_2,frequency,cD5,False,True,False,weak_label_adjacency_only,low_shap_with_label_adjacency_underused_or_conflicting,low-attribution feature with label adjacency; underused graph-supported candidate
