T_idx,Y_idx,T_name,Y_name,ATE
68,63,X68,X63,0.7013
69,64,X69,X64,0.6254
70,10,X70,X10,0.9253
70,15,X70,X15,0.4809
71,66,X71,X66,-0.6746
72,62,X72,X62,-0.8011
72,67,X72,X67,-0.7095
72,71,X72,X71,0.8763
72,92,X72,X92,0.949
73,68,X73,X68,-0.6715
74,73,X74,X73,0.6158
74,94,X74,X94,0.7745
75,15,X75,X15,0.5882
75,50,X75,X50,0.517
75,55,X75,X55,0.4663
75,65,X75,X65,0.2207
76,66,X76,X66,0.7607
76,75,X76,X75,0.2132
76,77,X76,X77,0.5542
77,17,X77,X17,0.5549
77,57,X77,X57,0.4843
77,67,X77,X67,0.7243
77,97,X77,X97,0.6455
78,68,X78,X68,0.8206
78,98,X78,X98,0.3425
79,39,X79,X39,0.3709
80,75,X80,X75,0.3199
80,85,X80,X85,0.9488
82,22,X82,X22,0.8753
82,62,X82,X62,0.9764
82,83,X82,X83,0.8392
82,87,X82,X87,0.81
83,43,X83,X43,0.7296
83,63,X83,X63,0.819
83,88,X83,X88,0.7109
84,83,X84,X83,0.7408
84,89,X84,X89,0.5549
84,94,X84,X94,-0.9297
86,6,X86,X6,0.8431
86,7,X86,X7,0.9259
86,96,X86,X96,0.7764
87,67,X87,X67,0.8603
90,0,X90,X0,-0.6119
90,85,X90,X85,-0.5315
90,110,X90,X110,0.519
91,11,X91,X11,0.7966
91,31,X91,X31,0.844
91,71,X91,X71,0.9382
92,32,X92,X32,0.7532
92,52,X92,X52,0.8943
92,87,X92,X87,-0.7141
93,73,X93,X73,0.752
93,83,X93,X83,-0.8658
93,88,X93,X88,-0.6727
93,92,X93,X92,0.7378
93,94,X93,X94,0.7742
95,85,X95,X85,0.9151
96,16,X96,X16,0.6086
97,87,X97,X87,0.7337
98,88,X98,X88,0.772
99,89,X99,X89,0.8775
99,98,X99,X98,0.3958
100,36,X100,X36,0.6205
100,105,X100,X105,0.9566
102,22,X102,X22,0.8457
102,103,X102,X103,0.9517
102,107,X102,X107,0.7591
102,112,X102,X112,-0.8675
103,113,X103,X113,-0.8889
104,23,X104,X23,0.7442
104,84,X104,X84,0.758
104,103,X104,X103,0.7792
104,109,X104,X109,0.6039
106,101,X106,X101,0.7943
106,110,X106,X110,-0.4766
108,103,X108,X103,0.7666
108,107,X108,X107,0.7598
109,89,X109,X89,0.3349
110,10,X110,X10,0.5287
110,105,X110,X105,-0.4646
111,101,X111,X101,-0.7812
112,32,X112,X32,0.7928
112,107,X112,X107,-0.7233
113,112,X113,X112,0.9212
113,114,X113,X114,0.7372
114,33,X114,X33,0.7134
114,94,X114,X94,0.7316
114,109,X114,X109,-0.5919
115,85,X115,X85,0.6573
115,105,X115,X105,0.9335
117,107,X117,X107,0.8263
119,109,X119,X109,0.8565
